Cascade Community Bank
Online Banking Transaction Export
Account: ****6789
Statement period: 01/01/2025 - 01/31/2025
Member FDIC

Posted Date,Description,Amount,Balance
01/01/2025,Opening Balance,,"8,420.55"
01/02/2025,POS PURCHASE - CAFÉ RIO #118,(64.20),"8,356.35"
01/03/2025,ACH CREDIT - PAYROLL DEPOSIT ACME CONTRACTING,"3,150.00","11,506.35"
,INVOICE 2025-0114 REF 889201,,
01/06/2025,CHECK #1042,"(1,200.00)","10,306.35"
01/08/2025,WIRE FEE - OUTGOING DOMESTIC,(25.00),"10,281.35"
01/10/2025,POS PURCHASE - OFFICE DEPOT 0912,(312.47),"9,968.88"
01/15/2025,ACH DEBIT - CITYWIDE INSURANCE PREMIUM,(540.00),"9,428.88"
01/17/2025,MOBILE DEPOSIT - CHECK 88213,875.50 CR,"10,304.38"
01/22/2025,POS PURCHASE - HILLSIDE FUEL #221,$58.90 DR,"10,245.48"
01/24/2025,ACH CREDIT - PAYROLL DEPOSIT ACME CONTRACTING,"3,150.00","13,395.48"
,INVOICE 2025-0114 REF 889201,,
01/28/2025,ONLINE TRANSFER TO SAVINGS ****4411,"(2,000.00)","11,395.48"
01/30/2025,MONTHLY SERVICE CHARGE,(18.00),"11,377.48"
01/31/2025,INTEREST EARNED,4.12,"11,381.60"
01/31/2025,Ending Balance,,"11,381.60"
