Northwind Bank plc
Business Current Account - Transaction Download
Account Name: Harbour Lane Cafe Ltd
Account Number: 4123 9987
Sort Code: 20-45-11
Statement Period: 01/03/2025 to 31/03/2025

Date,Description,Debit,Credit,Balance
01/03/2025,Opening Balance,,,"2,500.00"
03/03/2025,CARD PAYMENT - BELLA COFFEE SUPPLIES,412.80,,"2,087.20"
04/03/2025,BANK TRANSFER IN - INVOICE 1042 HOBSON DESIGN,,"1,250.00","3,337.20"
05/03/2025,DIRECT DEBIT - NORTHWIND ENERGY,186.45,,"3,150.75"
07/03/2025,CARD PAYMENT - METRO WHOLESALE,638.20,,"2,512.55"
10/03/2025,STANDING ORDER - HARBOUR LANE RENT,"1,100.00",,"1,412.55"
12/03/2025,BANK TRANSFER IN - INVOICE 1043 BELLWEATHER LTD,,"2,400.00","3,812.55"
14/03/2025,CARD PAYMENT - BELLA COFFEE SUPPLIES,297.60,,"3,514.95"
18/03/2025,FASTER PAYMENT OUT - A NOTHER WAGES,540.00,,"2,474.95"
21/03/2025,BANK TRANSFER IN - INVOICE 1044 KINGSWAY EVENTS,,"1,200.00","4,174.95"
25/03/2025,CARD PAYMENT - UNIVERSITY PRINT SHOP,132.85,,"4,042.10"
28/03/2025,BANK CHARGES - MONTHLY ACCOUNT FEE,15.00,,"4,027.10"
31/03/2025,DIRECT DEBIT - NORTHWIND ENERGY,149.30,,"3,877.80"
01/04/2025,Closing Balance,,,"3,877.80"
,Statement summary,,,
,Total money out,"3,472.20",,
,Total money in,,"4,850.00",
